algo,deg_cost,tol,seed,ok
coop_dabc,2.5,5.0,0,True
coop_dabc,2.5,5.0,1,True
coop_dabc,2.5,5.0,2,True
coop_dabc,2.5,5.0,3,True
coop_dabc,2.5,5.0,4,True
coop_dabc,5.0,5.0,0,True
coop_dabc,5.0,5.0,1,True
coop_dabc,5.0,5.0,2,True
coop_dabc,5.0,5.0,3,True
coop_dabc,5.0,5.0,4,True
coop_dabc,7.5,5.0,0,True
coop_dabc,7.5,5.0,1,True
coop_dabc,7.5,5.0,2,True
coop_dabc,7.5,5.0,3,True
coop_dabc,7.5,5.0,4,True
coop_dabc,10.0,5.0,0,True
coop_dabc,10.0,5.0,1,True
coop_dabc,10.0,5.0,2,True
coop_dabc,10.0,5.0,3,True
coop_dabc,10.0,5.0,4,True
coop_dabc,5.0,2.0,0,True
coop_dabc,5.0,2.0,1,True
coop_dabc,5.0,2.0,2,True
coop_dabc,5.0,2.0,3,True
coop_dabc,5.0,2.0,4,True
coop_dabc,5.0,10.0,0,True
coop_dabc,5.0,10.0,1,True
coop_dabc,5.0,10.0,2,True
coop_dabc,5.0,10.0,3,True
coop_dabc,5.0,10.0,4,True
coop_sac,2.5,5.0,0,True
coop_sac,2.5,5.0,1,True
coop_sac,2.5,5.0,2,True
coop_sac,2.5,5.0,3,True
coop_sac,2.5,5.0,4,True
coop_sac,5.0,5.0,0,True
coop_sac,5.0,5.0,1,True
coop_sac,5.0,5.0,2,True
coop_sac,5.0,5.0,3,True
coop_sac,5.0,5.0,4,True
coop_sac,7.5,5.0,0,True
coop_sac,7.5,5.0,1,True
coop_sac,7.5,5.0,2,True
coop_sac,7.5,5.0,3,True
coop_sac,7.5,5.0,4,True
coop_sac,10.0,5.0,0,True
coop_sac,10.0,5.0,1,True
coop_sac,10.0,5.0,2,True
coop_sac,10.0,5.0,3,True
coop_sac,10.0,5.0,4,True
coop_sac,5.0,2.0,0,True
coop_sac,5.0,2.0,1,True
coop_sac,5.0,2.0,2,True
coop_sac,5.0,2.0,3,True
coop_sac,5.0,2.0,4,True
coop_sac,5.0,10.0,0,True
coop_sac,5.0,10.0,1,True
coop_sac,5.0,10.0,2,True
coop_sac,5.0,10.0,3,True
coop_sac,5.0,10.0,4,True
